window_id,split,lake_name,target_datetime,length,window_days,target_raw,target_transformed,ice_prev_m,ice_prev_gap_days,Air_Temperature_celsius,ice_prev_available,coeff_shape
train_000136,train,【Huo】Lake Ulansu,2022-12-06 00:00:00,17,45,0.211250007152557,0.21125000715255737,0.189250007271766,1.0,-14.8132080078124,1.0,"(1, 16, 52)"
train_000137,train,【Huo】Lake Ulansu,2022-12-07 00:00:00,18,45,0.228499993681907,0.22849999368190765,0.211250007152557,1.0,-13.9325622558593,1.0,"(1, 17, 52)"
train_000138,train,【Huo】Lake Ulansu,2022-12-08 00:00:00,19,45,0.236582994461059,0.23658299446105957,0.228499993681907,1.0,-13.4372314453124,1.0,"(1, 18, 52)"
train_000139,train,【Huo】Lake Ulansu,2022-12-09 00:00:00,20,45,0.24279199540615,0.24279199540615082,0.236582994461059,1.0,-11.2876342773437,1.0,"(1, 19, 52)"
train_000140,train,【Huo】Lake Ulansu,2022-12-10 00:00:00,21,45,0.256999999284744,0.25699999928474426,0.24279199540615,1.0,-15.5288452148437,1.0,"(1, 20, 52)"
train_000141,train,【Huo】Lake Ulansu,2022-12-11 00:00:00,22,45,0.266999989748001,0.2669999897480011,0.256999999284744,1.0,-15.0146850585937,1.0,"(1, 21, 52)"
train_000142,train,【Huo】Lake Ulansu,2022-12-12 00:00:00,23,45,0.282624989748001,0.2826249897480011,0.266999989748001,1.0,-14.6677001953124,1.0,"(1, 22, 52)"
train_000143,train,【Huo】Lake Ulansu,2022-12-13 00:00:00,24,45,0.299582988023757,0.29958298802375793,0.282624989748001,1.0,-20.0428985595702,1.0,"(1, 23, 52)"
train_000144,train,【Huo】Lake Ulansu,2022-12-14 00:00:00,25,45,0.305124998092651,0.30512499809265137,0.299582988023757,1.0,-15.7020629882812,1.0,"(1, 24, 52)"
train_000145,train,【Huo】Lake Ulansu,2022-12-15 00:00:00,26,45,0.314832985401153,0.31483298540115356,0.305124998092651,1.0,-17.8462738037109,1.0,"(1, 25, 52)"
train_000146,train,【Huo】Lake Ulansu,2022-12-16 00:00:00,27,45,0.330457985401153,0.33045798540115356,0.314832985401153,1.0,-17.2074798583984,1.0,"(1, 26, 52)"
